STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGPAT041,Endpoint & Mobile Protection,Panda Patch Management - 1 Year - 51 to 100 users,https://www.leadersystems.com.au/Images/NWG-WGPAT041.jpg,Watchguard,WGPAT041,25.0000,32.0000
NWG-WGEMA093,Email Security,Panda Email Protection - 3 Year - 3000+ users,https://www.leadersystems.com.au/Images/NWG-WGEMA093.jpg,Watchguard,WGEMA093,38.0000,48.0000
NWG-WGEPL011,Endpoint & Mobile Protection,Panda Endpoint Protection Plus - 1 Year - 1 to 10 users,https://www.leadersystems.com.au/Images/NWG-WGEPL011.jpg,Watchguard,WGEPL011,49.0000,63.0000
NWG-WGTIS30103,Identity & Access Security,WatchGuard AuthPoint Total Identity Security - 3 Year - 1 to 50 users,https://www.leadersystems.com.au/Images/NWG-WGTIS30103.jpg,Watchguard,WGTIS30103,128.0000,162.0000
NWG-WG9023,Watchguard Accessories,WatchGuard Firebox T25/T45 Rack Kit,https://www.leadersystems.com.au/Images/NWG-WG9023.jpg,Watchguard,WG9023,83.0000,99.0000
NWG-WGT85341,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T85-PoE,https://www.leadersystems.com.au/Images/NWG-WGT85341.jpg,Watchguard,WGT85341,1276.0000,1619.0000
NWG-WGT47261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox T45-PoE,https://www.leadersystems.com.au/Images/NWG-WGT47261.jpg,Watchguard,WGT47261,361.0000,459.0000
NWG-WGT47263,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox T45-PoE,https://www.leadersystems.com.au/Images/NWG-WGT47263.jpg,Watchguard,WGT47263,835.0000,1060.0000
NWG-WGT48203,Subscriptions & Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox T45-W-PoE,https://www.leadersystems.com.au/Images/NWG-WGT48203.jpg,Watchguard,WGT48203,780.0000,990.0000
NWG-WGDNS30101,Cloud & Server Security,WatchGuard DNSWatchGO - 1 Year - 1 to 50 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30101.jpg,Watchguard,WGDNS30101,47.0000,60.0000
NWG-WGEPDR30201,Endpoint & Mobile Protection,WatchGuard EPDR - 1 Year - 51 to 100 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEPDR30201.jpg,Watchguard,WGEPDR30201,75.0000,96.0000
NWG-WGPSP30503,Subscriptions & Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 3 Year - 501 to 1000 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30503.jpg,Watchguard,WGPSP30503,180.0000,229.0000
NWG-WGVLG173,Cloud & Server Security,WatchGuard APT Blocker 3-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG173.jpg,Watchguard,WGVLG173,5450.0000,6915.0000
NWG-WGVXL173,Cloud & Server Security,WatchGuard APT Blocker 3-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL173.jpg,Watchguard,WGVXL173,10863.0000,13782.0000
NWG-WGM37121,Subscriptions & Licensing,WatchGuard Gateway AntiVirus 1-yr for Firebox M370,https://www.leadersystems.com.au/Images/NWG-WGM37121.jpg,Watchguard,WGM37121,818.0000,1038.0000
NWG-WGWFC201,Subscriptions & Licensing,"WatchGuard 1-yr Basic Wi-Fi Renewal/Upgrade, 1 AP",https://www.leadersystems.com.au/Images/NWG-WGWFC201.jpg,Watchguard,WGWFC201,130.0000,165.0000
NWG-WGM27201,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M270,https://www.leadersystems.com.au/Images/NWG-WGM27201.jpg,Watchguard,WGM27201,486.0000,617.0000
NWG-WGMDR30603,Managed Detection & Response (MDR),WatchGuard Core MDR - 3 Year - 1001 to 5000 licenses,https://www.leadersystems.com.au/Images/NWG-WGMDR30603.jpg,Watchguard,WGMDR30603,111.0000,132.0000
NWG-WGEPDR30501,Endpoint & Mobile Protection,WatchGuard EPDR - 1 Year - 501 to 1000 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEPDR30501.jpg,Watchguard,WGEPDR30501,51.0000,66.0000
NWG-WGEPDR30601,Endpoint & Mobile Protection,WatchGuard EPDR - 1 Year - 1001 to 5000 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEPDR30601.jpg,Watchguard,WGEPDR30601,44.0000,57.0000
NWG-WGM48351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox M4800,https://www.leadersystems.com.au/Images/NWG-WGM48351.jpg,Watchguard,WGM48351,21429.0000,27186.0000
NWG-WGT20341,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox T20,https://www.leadersystems.com.au/Images/NWG-WGT20341.jpg,Watchguard,WGT20341,393.0000,499.0000
NWG-WGT48351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox T45-W-PoE,https://www.leadersystems.com.au/Images/NWG-WGT48351.jpg,Watchguard,WGT48351,1802.0000,2287.0000
NWG-WGM29040703,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040703.jpg,Watchguard,WGM29040703,1839.0000,2334.0000
NWG-WGCSM031,Firewalls & Network Security,WatchGuard Firebox Cloud Small with 1-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGCSM031.jpg,Watchguard,WGCSM031,1880.0000,2593.0000
NWG-WGVLG063,Firewalls & Network Security,Trade up to WatchGuard FireboxV Large with 3-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVLG063.jpg,Watchguard,WGVLG063,12962.0000,17875.0000
NWG-WGM27121,Subscriptions & Licensing,WatchGuard Gateway AntiVirus 1-yr for Firebox M270,https://www.leadersystems.com.au/Images/NWG-WGM27121.jpg,Watchguard,WGM27121,626.0000,794.0000
NWG-WGVXL063,Firewalls & Network Security,Trade up to WatchGuard FireboxV XLarge with 3-yr Basic Security Suite,https://www.leadersystems.com.au/Images/NWG-WGVXL063.jpg,Watchguard,WGVXL063,25856.0000,35656.0000
NWG-WGDNS30401,Cloud & Server Security,WatchGuard DNSWatchGO - 1 Year - 251 to 500 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGDNS30401.jpg,Watchguard,WGDNS30401,33.0000,42.0000
NWG-WGEDR30101,Endpoint & Mobile Protection,WatchGuard EDR - 1 Year - 1 to 50 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEDR30101.jpg,Watchguard,WGEDR30101,66.0000,85.0000
NWG-WGEPDR30503,Endpoint & Mobile Protection,WatchGuard EPDR - 3 Year - 501 to 1000 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEPDR30503.jpg,Watchguard,WGEPDR30503,123.0000,157.0000
NWG-WGM39040303,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox M390,https://www.leadersystems.com.au/Images/NWG-WGM39040303.jpg,Watchguard,WGM39040303,10473.0000,13287.0000
NWG-WGM39040101,Subscriptions & Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox M390,https://www.leadersystems.com.au/Images/NWG-WGM39040101.jpg,Watchguard,WGM39040101,827.0000,1050.0000
NWG-WGM39040701,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox M390,https://www.leadersystems.com.au/Images/NWG-WGM39040701.jpg,Watchguard,WGM39040701,1189.0000,1509.0000
NWG-WGM59020801,Cloud & Server Security,WatchGuard APT Blocker 1-yr for Firebox M590,https://www.leadersystems.com.au/Images/NWG-WGM59020801.jpg,Watchguard,WGM59020801,2205.0000,2798.0000
NWG-WGM59040203,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox M590,https://www.leadersystems.com.au/Images/NWG-WGM59040203.jpg,Watchguard,WGM59040203,10857.0000,13774.0000
NWG-WGT26203,Subscriptions & Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox T25-W,https://www.leadersystems.com.au/Images/NWG-WGT26203.jpg,Watchguard,WGT26203,414.0000,525.0000
NWG-WGM29040303,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox M290,https://www.leadersystems.com.au/Images/NWG-WGM29040303.jpg,Watchguard,WGM29040303,6961.0000,8832.0000
NWG-WGM29021801,Subscriptions & Licensing,WatchGuard Cloud 1-month data retention for M290 - 1-yr,https://www.leadersystems.com.au/Images/NWG-WGM29021801.jpg,Watchguard,WGM29021801,576.0000,731.0000
NWG-WGT49203,Subscriptions & Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox T45-CW,https://www.leadersystems.com.au/Images/NWG-WGT49203.jpg,Watchguard,WGT49203,648.0000,822.0000
NWG-WGT49353,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox T45-CW,https://www.leadersystems.com.au/Images/NWG-WGT49353.jpg,Watchguard,WGT49353,4304.0000,5461.0000
NWG-WGPAT013,Endpoint & Mobile Protection,Panda Patch Management - 3 Year - 1 to 10 users,https://www.leadersystems.com.au/Images/NWG-WGPAT013.jpg,Watchguard,WGPAT013,72.0000,92.0000
NWG-WGT25175,Cloud & Server Security,WatchGuard APT Blocker 5-yr for Firebox T25,https://www.leadersystems.com.au/Images/NWG-WGT25175.jpg,Watchguard,WGT25175,845.0000,1072.0000
NWG-WGT85175,Cloud & Server Security,WatchGuard APT Blocker 5-yr for Firebox T85-PoE,https://www.leadersystems.com.au/Images/NWG-WGT85175.jpg,Watchguard,WGT85175,2739.0000,3475.0000
